,index,code,gni_per_capita,life satisfaction in cantril ladder (world happiness report 2019),fertility,total population,continent,working hours per year
143,Bosnia and Herzegovina,BIH,5210.0,5.887401103999999,1.296,3429000.0,Europe,no data
144,Virgin Islands (U.S.),VIR,,,2.164,105000.0,North America,no data
145,Haiti,HTI,1390.0,3.614928007,3.0980000000000003,10696000.0,North America,no data
146,Austria,AUT,47450.0,7.396001816,1.49,8679000.0,Europe,1598.8944
147,Ghana,GHA,1940.0,,4.041,27849000.0,Afrika,no data
148,Mauritania,MRT,1640.0,4.3136153219999995,4.738,4046000.0,Afrika,no data
149,Mexico,MEX,10160.0,6.5495786670000005,2.215,121858000.0,North America,2248.0
150,Belize,BLZ,4400.0,,2.439,361000.0,North America,no data
151,Lao PDR,LAO,1970.0,4.85940218,2.7960000000000003,6741000.0,Asia,no data
152,Singapore,SGP,53160.0,6.374564171,1.216,5592000.0,Asia,2263.1465
153,Belarus,BLR,6710.0,5.233769894,1.693,9439000.0,Europe,no data
154,Honduras,HND,2060.0,5.908423901,2.5810000000000004,9113000.0,North America,no data
155,Vietnam,VNM,1970.0,5.295547009,2.014,92677000.0,Asia,2169.5916
156,Nicaragua,NIC,1890.0,5.81895256,2.48,6223000.0,North America,no data
157,Solomon Islands,SLB,2130.0,,4.459,603000.0,Oceania,no data
158,North Macedonia,MKD,5110.0,5.239834785,1.507,2079000.0,Europe,no data
159,Palau,PLW,15860.0,,-99.0,18000.0,Oceania,no data
160,Tunisia,TUN,3960.0,4.741132259,2.251,11180000.0,Africa,no data
161,New Zealand,NZL,40640.0,7.370285987999999,1.965,4615000.0,Oceania,1757.0
162,Albania,ALB,4390.0,5.004402637,1.6769999999999998,2891000.0,Europe,no data
163,Bolivia,BOL,2960.0,5.915734291000001,2.886,10870000.0,South America,no data
164,Spain,ESP,28430.0,6.513370991,1.314,46672000.0,Europe,1699.4991
165,Sudan,SDN,1690.0,,4.5939999999999985,38903000.0,Afrika,no data
166,Grenada,GRD,7780.0,,2.126,110000.0,North America,no data
167,Nauru,NRU,11390.0,,-99.0,10000.0,Oceania,no data
168,Turks and Caicos Islands,TCA,25530.0,,-99.0,36000.0,North America,no data
169,Kiribati,KIR,3470.0,,3.692,111000.0,Oceania,no data
170,Botswana,BWA,6840.0,3.4613657,2.968,2121000.0,Africa,no data
171,Brunei Darussalam,BRN,38850.0,,1.947,415000.0,Asia,no data
172,Gibraltar,GIB,,,-99.0,34000.0,Europe,no data
173,Papua New Guinea,PNG,2860.0,,3.707,8108000.0,Oceania,no data
174,Sri Lanka,LKA,3760.0,4.400223255,2.213,20908000.0,Asia,1923.9354
175,Burundi,BDI,260.0,3.775283098,5.697,10160000.0,Afrika,no data
176,Dominican Republic,DOM,6580.0,5.433215617999999,2.405,10282000.0,North America,no data
177,Lebanon,LBN,7280.0,5.167186737,2.103,6533000.0,Asia,no data
178,Cambodia,KHM,1060.0,5.1218376160000005,2.593,15521000.0,Asia,2455.5508
179,Libya,LBY,5690.0,5.493977547,2.356,6418000.0,Africa,no data
180,Kenya,KEN,1290.0,4.655702591,3.765,47878000.0,Africa,no data
181,Malaysia,MYS,10680.0,5.338817596,2.056,30271000.0,Asia,2238.2729
182,Dominica,DMA,6870.0,,-99.0,71000.0,North America,no data
183,Sierra Leone,SLE,550.0,4.305683136,4.561,7172000.0,Afrika,no data
184,Somalia,SOM,,,6.363,13797000.0,Afrika,no data
185,Cameroon,CMR,1440.0,5.250737667,4.777,23298000.0,Afrika,no data
186,Madagascar,MDG,490.0,4.070586681,4.2410000000000005,24234000.0,Afrika,no data
187,Estonia,EST,18680.0,6.091302395,1.581,1315000.0,Europe,1851.6166
188,Monaco,MCO,,,-99.0,38000.0,Europe,no data
189,American Samoa,ASM,,,-99.0,56000.0,Oceania,no data
190,Czech Republic,CZE,18370.0,7.034165382,1.5619999999999998,10601000.0,Europe,1756.161
191,Kyrgyz Republic,KGZ,1180.0,5.297383308,3.202,5959000.0,asia,no data
192,Tajikistan,TJK,1250.0,,3.623,8454000.0,asia,no data
193,Afghanistan,AFG,600.0,2.6943032739999997,4.976,34414000.0,asia,no data
194,Russian Federation,RUS,11780.0,5.513500214,1.777,144984992.0,Europe,1978.0
195,Costa Rica,CRI,10400.0,7.141074657000001,1.806,4848000.0,North America,2156.9102
196,India,IND,1600.0,3.818068743,2.295,1310151936.0,Asia,2117.0117
197,Ireland,IRL,50350.0,6.962335587,1.905,4652000.0,Europe,1740.5286
198,Benin,BEN,1180.0,5.81982708,5.047,10576000.0,Afrika,no data
199,Saudi Arabia,SAU,23710.0,6.356393337,2.507,31718000.0,Asia,no data
200,Latvia,LVA,15100.0,5.901154041,1.606,1998000.0,Europe,1901.7413
201,Sint Maarten (Dutch part),SXM,29560.0,,-99.0,40000.0,North America,no data
202,,,,,,,,
